,posts,token
13,#情侣同居房租该不该AA制#还是根据两个人的收入情况来定吧。贫贱夫妻百事哀，自然处处精打细算。没办法的事。,# 情侣 同居 房租 该不该 不该 AA 制 # 还是 根据 两个 个人 的 收入 情况 来 定 吧   贫贱 贫贱夫妻 夫妻 百事 哀   自然 处处 精打细算 细算   没办 办法 的 事  
14,"#情侣同居房租该不该AA制#情侣投影拍照姿势??
拍腻了情侣大头贴，那我们来试试不一样的情侣照吧??
连接起来看的话就是一个接吻动作的拆分。
因为是影子看不到表情的，所以你们可以运用一些比较夸张的动作，拍出来也很好看的??
拍这种照片很简单，你只需要准备一个手电筒和一台手机就可以了，家里 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 投影 拍照 姿势   
 拍 腻 了 情侣 大头 大头贴   那 我们 来试 试试 不一 一样 的 情侣 照 吧   
 连接 连接起来 接起 起来 来看 的话 就是 一个 接吻 动作 的 拆分  
 因为 是 影子 看不到 不到 表情 的   所以 你们 可以 运用 一些 比较 夸张 的 动作   拍出 拍出来 出来 也 很 好看 的   
 拍 这种 照片 很 简单   你 只 需要 准备 一个 手电 手电筒 电筒 和 一台 手机 就 可以 了   家里      全文"
15,#赵丽颖跟小演员对戏#赵丽颖太温柔了吧，期待新作品～#女生生气的理由有多离奇##你支持教育惩戒吗##如何看待公开接吻行为##情侣同居房租该不该AA制# 头号迷妹王绿绿的微博视频,# 赵 丽 颖 跟 小演员 演员 对 戏 # 赵 丽 颖 太 温柔 了 吧   期待 新作 作品  # 女生 生生 生气 的 理由 有 多 离奇 ## 你 支持 教育 惩戒 吗 ## 如何 看待 公开 接吻 行为 ## 情侣 同居 房租 该不该 不该 AA 制 #  头号 迷 妹 王 绿绿 绿绿的 微 博 视频
16,赵丽颖怕是长在我的笑点上了，看她出洋相的视频我就笑个不停哈哈哈#赵丽颖跟小演员对戏# #女生生气的理由有多离奇##你支持教育惩戒吗##如何看待公开接吻行为##情侣同居房租该不该AA制# 全球热门话题排行的微博视频,赵 丽 颖 怕 是 长 在 我 的 笑 点 上 了   看 她 出洋 出洋相 洋相 的 视频 我 就 笑 个 不停 哈哈 哈哈哈 哈哈 # 赵 丽 颖 跟 小演员 演员 对 戏 # # 女生 生生 生气 的 理由 有 多 离奇 ## 你 支持 教育 惩戒 吗 ## 如何 看待 公开 接吻 行为 ## 情侣 同居 房租 该不该 不该 AA 制 #  全球 热门 热门话题 话题 排行 的 微 博 视频
17,#情侣同居房租该不该aa制# 你们的对象有要求AA么？,# 情侣 同居 房租 该不该 不该 aa 制 #  你们 的 对象 有 要求 AA 么  
18,#情侣同居房租该不该AA制#房租AA：“原来你只是把我当室友！”情侣同居，最好的状态就是，男人敢于承担，女人愿意分担。你认为情侣间同居，房租需要AA吗？,# 情侣 同居 房租 该不该 不该 AA 制 # 房租 AA   原来 你 只是 把 我 当 室友    情侣 同居   最好 的 状态 就是   男人 敢于 承担   女人 人愿 愿意 分担   你 认为 情侣 间 同居   房租 需要 AA 吗  
19,#情侣同居房租该不该aa制# 你觉得情侣同居房租该不该AA制？,# 情侣 同居 房租 该不该 不该 aa 制 #  你 觉得 情侣 同居 房租 该不该 不该 AA 制  
20,#情侣同居房租该不该AA制#情侣同居，最好的状态就是，男人敢于承担，女人愿意分担。,# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 同居   最好 的 状态 就是   男人 敢于 承担   女人 人愿 愿意 分担  
21,#情侣同居房租该不该AA制# 我认为不应该，没有物质基础的爱情不会长久，彼此相爱最终能走到一起谈婚论嫁，一般都不会计较金钱。生活离不开柴米油盐酱醋茶，男方买不起房，房租是必要支出，如果连房租都不肯出，要么非常小气计较，要么根本没有拿女方当回事，#V传播加速# 现在男女双方经济独立，同居之 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 #  我 认为 不应 应该   没有 物质 物质基础 基础 的 爱情 不会 会长 长久   彼此 相爱 最终 终能 走到 一起 谈婚论嫁   一般 都 不会 会计 计较 金钱   生活 离不开 不开 柴米 柴米油盐 柴米油盐酱醋茶 油盐 油盐酱醋 茶   男方 买不起 房   房租 是 必要 支出   如果 连 房租 都 不肯 肯出   要么 非常 小气 计较   要么 根本 没有 拿 女方 当回事 回事  #V 传播 加速 #  现在 男女 男女双方 双方 经济 独立   同居 之      全文
22,那么你#如何看待公开接吻行为#呢？不应该在家吗？而且#情侣同居房租该不该AA制#不过情侣之间的话，我觉得还是AA比较好吧。总不能让一个人经济分担太大(我是女生) 亚瑟王妃的微博视频,那么 你 # 如何 看待 公开 接吻 行为 # 呢   不应 应该 在家 吗   而且 # 情侣 同居 房租 该不该 不该 AA 制 # 不过 情侣 之间 的话   我 觉得 还是 AA 比较 好 吧   总 不能 让 一个 个人 经济 分担 太大   我 是 女生    亚瑟 亚瑟王 王妃 的 微 博 视频
23,"#情侣同居房租该不该AA制#
情侣吵架必备表情包，同居也得用起来[加油][加油][加油]","# 情侣 同居 房租 该不该 不该 AA 制 #
 情侣 吵架 必备 表情 包   同居 也 得用 起来   加油    加油    加油  "
24,#情侣同居房租该不该AA制#应该平摊，人人平等，不能有性别歧视。,# 情侣 同居 房租 该不该 不该 AA 制 # 应该 平摊   人人 人人平等 人平 平等   不能 有性 性别 性别歧视 歧视  
25,#情侣同居房租该不该AA制#都同居了南方付吧!,# 情侣 同居 房租 该不该 不该 AA 制 # 都 同居 了 南方 付 吧  
26,#情侣同居房租该不该AA制#,# 情侣 同居 房租 该不该 不该 AA 制 #
27,那结论#情侣同居房租该不该AA制#呢？@斑马信条,那 结论 # 情侣 同居 房租 该不该 不该 AA 制 # 呢    斑马 信条
28,#情侣同居房租该不该AA制#情侣同居是试婚的开始，油盐酱醋茶都要都要彼此磨合。只要真心相爱一辈子，哪里还有别的奢求？房租AA制的情侣只要男方提出的，没有一个长久的，一旦哪天某方面AA不合理了，就吵架闹别扭了，很容易就分了。多数从租房走到婚姻殿堂的情侣基本是男方买单，你连爱情的窝都搞不定， ...全文,# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 同居 是 试婚 的 开始   油盐 油盐酱醋 茶 都 要 都 要 彼此 磨合   只要 真心 相爱 一辈 一辈子 辈子   哪里 还有 有别 别的 奢求   房租 AA 制 的 情侣 只要 男方 提出 的   没有 一个 长久 的   一旦 哪天 某方 方面 AA 不合 不合理 合理 了   就 吵架 闹别扭 别扭 了   很 容易 就 分 了   多数 从 租房 走到 婚姻 殿堂 的 情侣 基本 是 男方 买单   你 连 爱情 的 窝 都 搞不定 不定       全文
29,#情侣同居房租该不该AA制#你认为应该AA制吗？ 一网红的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 你 认为 应该 AA 制 吗    一 网 红 的 微 博 投票
30,#情侣同居房租该不该AA制#你认为应该AA制吗？ 微趣味的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 你 认为 应该 AA 制 吗    微 趣味 的 微 博 投票
31,#情侣同居房租该不该AA制# 如果男生连这个都不愿意承担，那也太没用了……,# 情侣 同居 房租 该不该 不该 AA 制 #  如果 男生 连 这个 都 不 愿意 承担   那 也 太 没用 了   
32,#情侣同居房租该不该AA制#你认为应该AA制吗？ 群众热线的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 你 认为 应该 AA 制 吗    群众 热线 的 微 博 投票
33,#情侣同居房租该不该AA制#你认为应该AA制吗？ 挖掘鸡的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 你 认为 应该 AA 制 吗    挖掘 鸡 的 微 博 投票
34,#情侣同居房租该不该AA制#你认为应该AA制吗？ 社会奇闻的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 你 认为 应该 AA 制 吗    社会 奇闻 的 微 博 投票
35,#情侣同居房租该不该AA制#你认为应该AA制吗？ 这个要火的微博投票,# 情侣 同居 房租 该不该 不该 AA 制 # 你 认为 应该 AA 制 吗    这个 要 火 的 微 博 投票
36,"#情侣同居房租该不该AA制#随便翻了一下话题里的微博，其他博主说的都是个啥，忍不了。

1.很多人以为我是个法律博主，其实我还是个情感博主。

2.这事儿这么尴尬的原因是因为男方主动开口索取，让你觉得一万点暴击。

3.爱情里最好的状态是付出，也就是说“女生应该主动和男朋友提出愿意承担一半房租” ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 随便 翻 了 一下 话题 里 的 微 博   其他 博 主 说 的 都 是 个 啥   忍 不了  

1  很多 人 以为 我 是 个 法律 博 主   其实 我 还是 个 情感 博 主  

2  这事 事儿 这么 尴尬 的 原因 是因为 因为 男方 主动 开口 索取   让 你 觉得 一万 万点 暴 击  

3  爱情 里 最好 的 状态 是 付出   也就是说 就是 就是说   女生 应该 主动 和 男朋友 朋友 提出 愿意 承担 一半 房租       全文"
37,#情侣同居房租该不该aa制# 情侣同居租房该不该AA制？单身狗强行加入群聊……,# 情侣 同居 房租 该不该 不该 aa 制 #  情侣 同居 租房 该不该 不该 AA 制   单身 狗 强行 加入 群聊   
38,#情侣同居房租该不该aa制# 房租要AA？小情侣吵翻了：原来你只是把我当室友,# 情侣 同居 房租 该不该 不该 aa 制 #  房租 要 AA  小 情侣 吵 翻 了   原来 你 只是 把 我 当 室友
39,"#情侣同居房租该不该AA制#
就图片中的男孩女孩来说，女孩子负所有生活开销就已经能抵消房租了，更何况平时还把家务给包了，男的还来问要一般的房租！！！厉害！
首先不清楚男孩是怎么想的，但是我不认可两个人的做法，谈恋爱的时候其实是两个人在斡旋，在奠定未来的相处方式，家庭地位的 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #
 就 图片 片中 的 男孩 女孩 来说   女孩 女孩子 孩子 负 所有 有生 生活 开销 就 已经 能 抵消 房租 了   更何况 何况 平时 还 把 家务 给 包 了   男 的 还 来 问 要 一般 般的 房租     厉害  
 首先 不 清楚 男孩 是 怎么 想 的   但是 我 不 认可 两个 个人 的 做法   谈恋爱 恋爱 的 时候 其实 实是 两个 个人 在 斡旋   在 奠定 未来 的 相处 处方 方式   家庭 地位 的      全文"
40,#情侣同居房租该不该AA制#我讲下身边一男性朋友，家里不缺钱但感觉脑子缺根筋，他交往了一个女朋友，然后同居要求aa，女孩也同意了，只到有一天物业来检修电表发现业主是他男朋友名字,# 情侣 同居 房租 该不该 不该 AA 制 # 我 讲 下身 身边 一 男性 朋友   家里 不 缺钱 但 感觉 脑子 缺 根 筋   他 交往 了 一个 女朋友 朋友   然后 同居 要求 aa  女孩 也 同意 了   只 到 有 一天 天物 物业 来 检修 电表 发现 业主 是 他 男朋友 朋友 名字
41,"#情侣同居房租该不该AA制# ？

大家怎么看？","# 情侣 同居 房租 该不该 不该 AA 制 #  

 大家 怎么 看  "
42,#情侣同居房租该不该AA制# 大家觉得该不该？,# 情侣 同居 房租 该不该 不该 AA 制 #  大家 觉得 得该 该不该 不该  
43,#情侣同居房租该不该AA制#你觉得呢？,# 情侣 同居 房租 该不该 不该 AA 制 # 你 觉得 呢  
44,#情侣同居房租该不该AA制#说一下你的看法吧！,# 情侣 同居 房租 该不该 不该 AA 制 # 说 一下 你 的 看法 吧  
45,#情侣同居房租该不该AA制#一起来说说你的看法吧！,# 情侣 同居 房租 该不该 不该 AA 制 # 一起 起来 来说 说 你 的 看法 吧  
46,#情侣同居房租该不该AA制#来说说你们意见吧！,# 情侣 同居 房租 该不该 不该 AA 制 # 来说 说 你们 意见 吧  
47,#情侣同居房租该不该AA制#经济基础决定上层建筑，提出这句话的大多应为女生，作为新时代年轻人，平等自强是应该的，可以提出AA，双方协商，或者一个负责房租，一个负责生活费，这也是另一种AA。如果一毛不拔那也不算情侣了，而是床友。,# 情侣 同居 房租 该不该 不该 AA 制 # 经济 经济基础 基础 决定 上层 上层建筑 建筑   提出 这 句 话 的 大多 应为 女生   作为 新 时代 年轻 年轻人   平等 自强 是 应该 的   可以 提出 AA  双方 协商   或者 一个 负责 房租   一个 负责 生活 生活费   这 也 是 另 一种 AA  如果 一毛不拔 不拔 那 也 不算 情侣 了   而是 床 友  
48,#情侣同居房租该不该AA制#都这么扣了，不分等着过年吗,# 情侣 同居 房租 该不该 不该 AA 制 # 都 这么 扣 了   不分 等 着 过年 吗
49,"#情侣同居房租该不该AA制#

这个问题最大的障碍在于：在恋爱关系中，女方是怎么看待自己的角色和地位的。

通常情况下，恋爱中的女方会把男方买单看作天经地义，吃饭逛街看电影等等开销，男方也主动把买单当做自己的义务，至于同居租房，一般也倾向于是男方的责任。

这是人之常情，或者说是人们的一种 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #

 这个 问题 最大 的 障碍 在于   在 恋爱 关系 中   女方 是 怎么 看待 自己 的 角色 和 地位 的  

 通常 常情 情况 下   恋爱 中 的 女方 会 把 男方 买单 看作 天经地义   吃饭 逛街 看 电影 等等 开销   男方 也 主动 把 买单 当做 自己 的 义务   至于 同居 租房   一般 也 倾向 于是 男方 的 责任  

 这 是 人之常情 常情   或者 或者说 是 人们 的 一种      全文"
50,#情侣同居房租该不该AA制#别人怎么对待我，这是我的因果。我怎么对待别人，这是我的修行。,# 情侣 同居 房租 该不该 不该 AA 制 # 别人 怎么 对待 我   这 是 我 的 因果   我 怎么 对待 别人   这 是 我 的 修行  
51,#情侣同居房租该不该AA制#这都要AA，要不要这么扣啊,# 情侣 同居 房租 该不该 不该 AA 制 # 这 都 要 AA  要 不要 这么 扣 啊
52,"#情侣同居房租该不该AA制#这个没有什么定论，好像大部分人不支持，认为男方应该承担主要费用。

我认为在一段感情里，两个人都是认真，真心的，谁出的多一点亦或是少一点，可以根据自己的收入来决定。如果计较那么多，似乎有点伤害感情。

我有一个同事，和她男友同居，他们的处理方式就是AA。她们办了 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 这个 没有 什么 定论   好像 大部 大部分 部分 人 不支 支持   认为 男方 应该 承担 主要 费用  

 我 认为 在 一段 感情 里   两个 个人 都 是 认真   真心 的   谁 出 的 多一点 一点 亦 或是 少 一点   可以 根据 自己 的 收入 来 决定   如果 计较 那么 多   似乎 有点 伤害 感情  

 我 有 一个 同事   和 她 男友 同居   他们 的 处理 处理方式 方式 就是 AA  她们 办 了      全文"
53,#情侣同居房租该不该aa制# 你们觉得该不该AA？,# 情侣 同居 房租 该不该 不该 aa 制 #  你们 觉得 得该 该不该 不该 AA 
54,#情侣同居房租该不该AA制#一直都觉得AA是正常的 大家都是平等的不是吗…,# 情侣 同居 房租 该不该 不该 AA 制 # 一直 都 觉得 AA 是 正常 的   大家 都 是 平等 的 不是 吗  
55,#情侣同居房租该不该aa制# 只有知道了对方的状况，所以才会更加体谅对方。#男友力#,# 情侣 同居 房租 该不该 不该 aa 制 #  只有 知道 了 对方 的 状况   所以 才 会 更加 体谅 对方  # 男友 力 #
56,#情侣同居房租该不该AA制#可以啊，不能只让男生出或者女生出,# 情侣 同居 房租 该不该 不该 AA 制 # 可以 啊   不能 只 让 男生 生出 或者 女生 生出
57,"#情侣同居房租该不该AA制#男人命中没有财富,很难有婚姻,即使同居,也可看成娶妻的意思,所以应当主动担当；对于女生,应该有责任、自我克制与约束,这就是婚姻的本质,否则不可能去同居。对于一些女生，如果不付出，体现被出约束自己的性质。综合命理看,不是奔着结婚去者,适宜AA制,奔着婚姻去者,双方协商自 ...全文",# 情侣 同居 房租 该不该 不该 AA 制 # 男人 人命 命中 没有 财富   很 难 有 婚姻   即使 同居   也 可看 看成 娶妻 的 意思   所以 应当 主动 担当   对于 女生   应该 有责 责任   自我 克制 与 约束   这 就是 婚姻 的 本质   否则 不可 可能 去 同居   对于 一些 女生   如果 不 付出   体现 被 出 约束 自己 的 性质   综合 命理 看   不是 奔 着 结婚 去者   适宜 AA 制   奔 着 婚姻 去者   双方 协商 自      全文
58,#情侣同居房租该不该AA制#因人而异。如果两人都觉得应该男方付，那就OK,# 情侣 同居 房租 该不该 不该 AA 制 # 因人 因人而异   如果 两 人 都 觉得 应该 男方 付   那 就 OK
59,#情侣同居房租该不该AA制#情侣同居，最好的状态就是，男人敢于承担，女人愿意分担。,# 情侣 同居 房租 该不该 不该 AA 制 # 情侣 同居   最好 的 状态 就是   男人 敢于 承担   女人 人愿 愿意 分担  
60,#情侣同居房租该不该AA制#毕竟还没有结婚，不管各自的经济条件到底如何，都属于婚前财产，还是不要搅和在一起比较好??,# 情侣 同居 房租 该不该 不该 AA 制 # 毕竟 还 没有 结婚   不管 各自 的 经济 条件 到底 如何   都 属于 婚前 财产   还是 不要 搅和 在 一起 比较 好   
61,"#情侣同居房租该不该AA制#

哈哈哈，又来“该不该”，这哪能扯得清道理，怎么扯都有道理。现在，我来扯，为什么自信的时代女性，应该出全部钱。男的无论出全部的钱，还是出部分钱，都是把女性物化，是不符合女权精神的。又没有结婚证，只要男的出钱了，都会被折算成女性的价值，陪这陪那折合多少钱。房 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #

 哈哈 哈哈哈 哈哈   又 来   该不该 不该    这 哪 能 扯 得 清道 道理   怎么 扯 都 有 道理   现在   我 来 扯   为什么 什么 自信 的 时代 女性   应该 出 全部 钱   男 的 无论 出 全部 的 钱   还是 出 部分 分钱   都 是 把 女性 物化   是 不符 符合 女权 精神 的   又 没有 结婚 结婚证   只要 男 的 出钱 了   都 会 被 折算 成 女性 的 价值   陪 这 陪 那 折合 多少 多少钱   房      全文"
62,#情侣同居房租该不该AA制#这事看男的提还是女的提，女的提出来，而且是硬性的，男的就应该接受。但男的不应该提，如果他连这点钱都计较，何来一生的倾腔之爱？不过女的一提，基本是不咋爱这个男生，也就是说“不想该他的欠他的，未来分手还得纠葛一阵儿财务”,# 情侣 同居 房租 该不该 不该 AA 制 # 这事 看 男 的 提 还是 女 的 提   女 的 提出 出来   而且 是 硬性 的   男 的 就 应该 接受   但 男 的 不应 应该 提   如果 他 连 这点 钱 都 计较   何来 一生 的 倾 腔 之 爱   不过 女 的 一 提   基本 是 不 咋 爱 这个 男生   也就是说 就是 就是说   不想 该 他 的 欠 他 的   未来 分手 还 得 纠葛 一阵 一阵儿 财务  
63,#情侣同居房租该不该AA制#环球旅行超话#奥地利旅行# 这还用说吗？女人不带这么倒贴的。除非双方都自愿，一个愿打一个愿挨 （视频为奥地利实拍） AP世界历史老师的微博视频,# 情侣 同居 房租 该不该 不该 AA 制 # 环球 环球旅行 旅行 超 话 # 奥地利 地利 旅行 #  这 还用 还用说 吗   女人 不 带 这么 倒贴 的   除非 双方 都 自愿   一个 一个愿打 一个 一个愿挨 愿挨    视频 为 奥地利 地利 实 拍   AP 世界 历史 老师 的 微 博 视频
64,#情侣同居房租该不该AA制#抠门儿的爷们儿,# 情侣 同居 房租 该不该 不该 AA 制 # 抠门 抠门儿 门儿 的 爷们 爷们儿
65,#情侣同居房租该不该AA制#俩人都认同就可以啊。无论是AA，还是一方出，这都不是问题。问题是，提前都商量好。,# 情侣 同居 房租 该不该 不该 AA 制 # 俩 人 都 认同 就 可以 啊   无论 无论是 AA  还是 一方 出   这 都 不是 问题   问题 是   提前 都 商量 好  
66,#情侣同居房租该不该AA制#该不该把，随便哈哈哈哈哈哈哈哈哈哈哈哈哈哈。,# 情侣 同居 房租 该不该 不该 AA 制 # 该不该 不该 把   随便 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈哈哈 哈哈 哈哈哈 哈哈  
67,"#情侣同居房租该不该AA制#同居房租AA制我觉得是挺扯的。

如果说既然要同居，那么何必要算那么清呢？

我一直认为，同居就像结婚一样，结婚了也要AA制吗？","# 情侣 同居 房租 该不该 不该 AA 制 # 同居 房租 AA 制 我 觉得 是 挺 扯 的  

 如果 如果说 既然 要同 同居   那么 何必 必要 算 那么 清 呢  

 我 一直 认为   同居 就 像 结婚 一样   结婚 了 也 要 AA 制 吗  "
68,0微博,0 微 博
69,"马德里┃公寓┃经典图案与当代艺术

#情侣同居房租该不该AA制##家居设计# 杭州","马德里 德里   公寓   经典 图案 与 当代 当代艺术 艺术 

# 情侣 同居 房租 该不该 不该 AA 制 ## 家居 家居设计 设计 #  杭州"
70,#情侣同居房租该不该AA制#不该，毕竟以后两人也是要一起生活的啊，怎么分那么细呢？,# 情侣 同居 房租 该不该 不该 AA 制 # 不该   毕竟 以后 两 人 也 是 要 一起 生活 的 啊   怎么 分 那么 细 呢  
71,不说该不该了，大家自己说下自己的情况吧。A还是不A？#情侣同居房租该不该AA制#,不 说 该不该 不该 了   大家 自己 说 下自 自己 的 情况 吧  A 还是 不 A # 情侣 同居 房租 该不该 不该 AA 制 #
72,"来说一说#情侣同居房租该不该AA制# ？
Via：斑马信条","来说 说一说 # 情侣 同居 房租 该不该 不该 AA 制 #  
Via  斑马 信条"
